cell_ontology_class,platform,tissue,leiden_r1_0,n_cells
T cell,FACS,Thymus,4,0
T cell,FACS,Thymus,8,0
T cell,FACS,Thymus,9,0
T cell,FACS,Thymus,12,0
T cell,FACS,Thymus,13,0
T cell,FACS,Thymus,15,0
T cell,FACS,Thymus,18,0
T cell,FACS,Thymus,19,0
T cell,FACS,Thymus,20,0
T cell,FACS,Thymus,21,0
T cell,FACS,Thymus,25,0
T cell,FACS,Thymus,28,0
T cell,FACS,Thymus,32,0
T cell,FACS,Thymus,33,0
T cell,FACS,Thymus,36,0
T cell,FACS,Thymus,38,0
T cell,FACS,Thymus,39,0
T cell,FACS,Thymus,42,0
T cell,FACS,Thymus,44,0
T cell,FACS,Thymus,49,0
T cell,FACS,Thymus,50,0
T cell,FACS,Thymus,53,0
T cell,FACS,Thymus,56,0
T cell,droplet,Kidney,0,0
T cell,droplet,Kidney,3,0
T cell,droplet,Kidney,4,0
T cell,droplet,Kidney,8,0
T cell,droplet,Kidney,9,0
T cell,droplet,Kidney,12,0
T cell,droplet,Kidney,13,0
T cell,droplet,Kidney,15,0
T cell,droplet,Kidney,18,0
T cell,droplet,Kidney,19,0
T cell,droplet,Kidney,20,0
T cell,droplet,Kidney,21,0
T cell,droplet,Kidney,25,0
T cell,droplet,Kidney,28,0
T cell,droplet,Kidney,32,0
T cell,droplet,Kidney,33,0
T cell,droplet,Kidney,36,0
T cell,droplet,Kidney,38,0
T cell,droplet,Kidney,39,0
T cell,droplet,Kidney,42,0
T cell,droplet,Kidney,44,0
T cell,droplet,Kidney,49,0
T cell,droplet,Kidney,50,0
T cell,droplet,Kidney,53,0
T cell,droplet,Kidney,56,0
T cell,droplet,Limb_Muscle,0,0
T cell,droplet,Limb_Muscle,3,189
T cell,droplet,Limb_Muscle,4,1
T cell,droplet,Limb_Muscle,8,1
T cell,droplet,Limb_Muscle,9,116
T cell,droplet,Limb_Muscle,12,8
T cell,droplet,Limb_Muscle,13,1
T cell,droplet,Limb_Muscle,15,0
T cell,droplet,Limb_Muscle,18,0
T cell,droplet,Limb_Muscle,19,0
T cell,droplet,Limb_Muscle,20,3
T cell,droplet,Limb_Muscle,21,0
T cell,droplet,Limb_Muscle,25,0
T cell,droplet,Limb_Muscle,28,0
T cell,droplet,Limb_Muscle,32,0
T cell,droplet,Limb_Muscle,33,1
T cell,droplet,Limb_Muscle,36,0
T cell,droplet,Limb_Muscle,38,0
T cell,droplet,Limb_Muscle,39,0
T cell,droplet,Limb_Muscle,42,0
T cell,droplet,Limb_Muscle,44,0
